Rank,State,Population,House,Elect,Pop.House,Pop.elect,Pop.Senate
1,California,38802500,53,55,717763,691662,19401250
2,Texas,26956958,36,38,723867,685769,13478479
3,Florida,19893297,27,29,715465,666123,9946649
4,New York,19746227,27,29,724824,674837,9873114
5,Illinois,12880580,18,20,715292,643763,6440290
6,Pennsylvania,12787209,18,20,709085,638177,6393605
7,Ohio,11594163,16,18,721514,641346,5797082
8,Georgia,10097343,14,16,708568,619997,5048672
9,North Carolina,9943964,13,15,750159,650138,4971982
10,Michigan,9909877,14,16,705954,617710,4954939
11,New Jersey,8938175,12,14,738716,633185,4469088
12,Virginia,8326289,11,13,744170,629682,4163145
13,Washington,7061530,10,12,689701,574751,3530765
14,Massachusetts,6745408,9,11,738460,604195,3372704
15,Arizona,6731484,9,11,728139,595750,3365742
16,Indiana,6596855,9,11,726370,594303,3298428
17,Tennessee,6549352,9,11,717360,586931,3274676
18,Missouri,6063589,8,10,752749,602199,3031795
19,Maryland,5976407,8,10,735570,588456,2988204
20,Wisconsin,5757564,8,10,715800,572640,2878782
21,Minnesota,5457173,8,10,672392,537914,2728587
22,Colorado,5355856,7,9,741083,576398,2677928
23,Alabama,4849377,7,9,688860,535780,2424689
24,South Carolina,4832482,7,9,674818,524858,2416241
25,Louisiana,4649676,6,8,766982,575237,2324838
26,Kentucky,4413457,6,8,730069,547552,2206729
27,Oregon,3970239,5,7,779871,557050,1985120
28,Oklahoma,3878051,5,7,762964,544974,1939026
29,Connecticut,3596677,5,7,718059,512907,1798339
30,Iowa,3107126,4,6,768547,513364,1553563
31,Arkansas,2994079,4,6,737283,491522,1497040
32,Mississippi,2984926,4,6,746232,497488,1492463
33,Utah,2942902,4,6,713822,475881,1471451
34,Kansas,2904021,4,6,721476,480984,1452011
35,Nevada,2839099,4,6,689733,459822,1419550
36,New Mexico,2085572,3,5,695179,417108,1042786
37,Nebraska,1881503,3,5,618508,371105,940752
38,West Virginia,1850326,3,5,618471,371083,925163
39,Idaho,1634464,2,4,797864,398932,817232
40,Hawaii,1419561,2,4,696157,348078,709781
41,Maine,1330089,2,4,664596,332298,665045
42,New Hampshire,1326813,2,4,660359,330180,663407
43,Rhode Island,1055173,2,4,525146,262273,527587
44,Montana,1023579,1,3,1005141,335047,511790
45,Delaware,935614,1,3,917092,305697,467807
46,South Dakota,853175,1,3,833354,277785,426588
47,North Dakota,739482,1,3,699628,233209,369741
48,Alaska,737732,1,3,736732,243816,368866
49,Vermont,626011,1,3,626562,208670,313006
50,Wyoming,584153,1,3,576412,192137,292077
